"CD_COMPETITION","CD_SAISON","ID_SAISON_LOCAL","LB_SAISON","DT_SAISON_START","DT_SAISON_END","FG_IS_ACTIVE","TS_INSERT","TS_UPDATE"
EURO-H,EURO-H_2022,2022,EURO 2022,"2021-01-01","2022-01-30",1,"2021-04-30 14:16:54",
FR-1-H,FR-1-H_1,1,"2010 / 2011","2010-08-01","2011-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_2,2,"2009 / 2010","2009-08-01","2010-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_24,24,"2012 / 2013","2012-08-01","2013-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_25,25,"2013 / 2014","2013-08-01","2014-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_26,26,"2014 / 2015","2014-08-01","2015-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_27,27,"2015 / 2016","2015-08-01","2016-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_28,28,"2016 / 2017","2016-08-01","2017-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_29,29,"2017 / 2018","2017-08-01","2018-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_3,3,"2011 / 2012","2011-08-01","2012-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_30,30,"2018 / 2019","2018-08-01","2019-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_31,31,"2019 / 2020","2019-08-01","2020-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_32,32,"2020 / 2021","2020-08-01","2021-07-31",1,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_4,4,"2004 / 2005","2004-08-01","2005-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_5,5,"2005 / 2006","2005-08-01","2006-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_6,6,"2006 / 2007","2006-08-01","2007-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_7,7,"2007 / 2008","2007-08-01","2008-07-31",0,"2021-01-07 14:52:45",
FR-1-H,FR-1-H_8,8,"2008 / 2009","2008-08-01","2009-07-31",0,"2021-01-07 14:52:45",
JO-H,JO-H_2021,2021,JO 2021,"2021-07-23","2022-08-08",1,"2021-07-25 19:29:05",
